ResponseId,LanguageHaveWorkedWith
97,Bash/Shell;Clojure;Haskell;Java;JavaScript;Kotlin;Python
98,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
99,
100,Scala
101,Dart;JavaScript;Node.js
102,C#;HTML/CSS;JavaScript;PHP
103,Python
104,C++;Go;Python;TypeScript
105,HTML/CSS;JavaScript;PHP;SQL
106,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
107,Go;JavaScript;Node.js;PHP;TypeScript
108,Java;JavaScript
109,HTML/CSS;Java;JavaScript;Node.js;Python;SQL
110,HTML/CSS;JavaScript;Python
111,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
112,Assembly;C;C++
113,Dart;HTML/CSS;Python
114,Go;Java;Node.js;PHP;Python
115,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA
116,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;Python
117,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
118,HTML/CSS;JavaScript;Node.js
119,C#;HTML/CSS;JavaScript;SQL;VBA
120,HTML/CSS;JavaScript;Node.js;Python
121,Java;Kotlin;Swift
122,HTML/CSS;JavaScript;Node.js;Python;TypeScript
123,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python
124,Python
125,Bash/Shell;Python
126,Kotlin;Objective-C;SQL;Swift
127,JavaScript;Node.js;PHP;PowerShell;Python;SQL
128,C;Dart;JavaScript
129,Bash/Shell;C#;HTML/CSS;JavaScript;TypeScript
130,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL
131,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python
132,C#;PowerShell;SQL
133,C
134,APL;C;HTML/CSS;JavaScript;LISP
135,Go;JavaScript;Node.js
136,Bash/Shell;C;HTML/CSS;Java;JavaScript;Node.js;TypeScript
137,C#;Java;JavaScript;Python;SQL
138,HTML/CSS;JavaScript;R;SQL
139,Go;JavaScript;Python;SQL;TypeScript;VBA
140,C#;Delphi;JavaScript;Node.js;TypeScript
141,Assembly;Bash/Shell;C;HTML/CSS;Java;JavaScript;Perl;Python
142,C;C++;Python;SQL
143,JavaScript;Swift;TypeScript
144,C#;F#;SQL
145,Bash/Shell;Dart;Go;HTML/CSS;JavaScript;Python;Swift
146,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript
147,C++;Java;Kotlin;Objective-C;Swift
148,C++;Python
149,SQL
150,HTML/CSS;Java;JavaScript;Node.js;Rust
151,JavaScript;Node.js;PHP;TypeScript
152,C#;Java;Python
153,C#;HTML/CSS;PowerShell;SQL
154,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Scala;SQL;TypeScript
155,HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL
156,C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL
157,JavaScript;Python;SQL
158,C++;Go;JavaScript;Node.js;Python;TypeScript
159,HTML/CSS;Java;JavaScript;Python;Ruby;SQL
160,C#;HTML/CSS;JavaScript;PowerShell;TypeScript
161,Assembly;Python
162,Matlab
163,Bash/Shell;HTML/CSS;JavaScript;PHP
164,C#
165,Bash/Shell;C;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript
166,C#;Go
167,JavaScript;PHP;SQL
168,HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;PowerShell;Python;Rust;SQL;TypeScript
169,HTML/CSS;JavaScript;Python;SQL
170,Dart;HTML/CSS;Python;SQL
171,Python;R
172,Go;JavaScript;PHP
173,C;C#;C++;Java;Kotlin;PHP;SQL
174,Java;JavaScript;Node.js;TypeScript
175,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
176,Go;JavaScript;Python;SQL
177,
178,C#;JavaScript
179,Groovy;Java;Kotlin
180,Java;JavaScript;SQL
181,C;C++;HTML/CSS;JavaScript
182,Bash/Shell;Python;Scala;SQL
183,C;C++;Delphi;Go;HTML/CSS;Perl;Python;R;Ruby;Rust
184,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
185,C#;HTML/CSS;JavaScript;PHP;SQL
186,Java;TypeScript
187,HTML/CSS;Java;JavaScript;Node.js;TypeScript
188,C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript
189,Assembly;C#;C++;HTML/CSS;JavaScript;Python;R;TypeScript
190,C;Dart;HTML/CSS;Java;Python
191,C;C++;JavaScript;Objective-C;Python;Swift;TypeScript
192,HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL
193,Bash/Shell;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript
194,HTML/CSS;Java
195,C#;HTML/CSS;JavaScript;SQL
196,HTML/CSS;JavaScript;Python
197,Bash/Shell;C;C++;Python
198,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL
199,JavaScript;Python
200,C#;HTML/CSS;SQL;TypeScript
201,Java;Kotlin;Python;Scala
202,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA
203,HTML/CSS;Java;JavaScript;Python;SQL
204,C#
205,HTML/CSS;JavaScript;Node.js
206,C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript
207,
208,HTML/CSS;Java;JavaScript;SQL
209,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL
210,C#;HTML/CSS;Matlab;Python;R;SQL
211,Bash/Shell;Java;JavaScript;Node.js;Python;TypeScript
212,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;SQL;Swift;TypeScript
213,Bash/Shell;C;C++
214,C#;Java;Python
215,Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Python;Rust
216,Dart
217,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
218,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;SQL
219,C#;Dart;Kotlin;Python
220,HTML/CSS;Java;JavaScript;Node.js;Python
221,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript
222,HTML/CSS;PowerShell
223,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;Ruby;TypeScript
224,Haskell;HTML/CSS;JavaScript;Node.js;TypeScript
225,Python
226,C#;Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
227,Java;Kotlin
228,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript
229,C;C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript;VBA
230,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL
231,HTML/CSS;JavaScript;TypeScript
232,JavaScript;Node.js;Python;SQL
233,R
234,HTML/CSS;Java;JavaScript;Node.js;SQL
235,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript
236,Dart;HTML/CSS;JavaScript;Node.js;PHP
237,HTML/CSS;JavaScript;TypeScript
238,HTML/CSS;JavaScript;Node.js;Rust;TypeScript
239,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript
240,Bash/Shell;C;HTML/CSS;PHP
241,C#;HTML/CSS;Java;JavaScript;Objective-C;PowerShell;SQL;Swift;TypeScript
242,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript;VBA
243,Java;SQL
244,C#;C++
245,Bash/Shell;Objective-C;Swift
246,C;C#;C++;HTML/CSS;Node.js;SQL
247,C#
248,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python
249,C;C++;HTML/CSS;Java;JavaScript;Matlab;Perl;Python;R;SQL
250,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
251,Python;SQL
252,HTML/CSS;Python
253,R
254,C#;HTML/CSS;JavaScript;PowerShell;SQL
255,HTML/CSS;JavaScript;Node.js;PHP
256,Bash/Shell;C;C#;C++;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
257,C#;HTML/CSS;Java;SQL;VBA
258,C;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript
259,HTML/CSS;Java;PHP
260,HTML/CSS;JavaScript;Node.js;TypeScript
261,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
262,Bash/Shell;C;Java;Kotlin;Perl;PowerShell;Python
263,HTML/CSS;JavaScript;Node.js;Objective-C;Swift;TypeScript
264,Bash/Shell;C;C++;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL;TypeScript
265,C#;HTML/CSS;SQL;TypeScript
266,HTML/CSS;JavaScript;PHP;Python;Rust;SQL
267,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
268,HTML/CSS;Java;JavaScript;Node.js;SQL
269,Bash/Shell;Python
270,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript
271,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
272,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
273,Bash/Shell;C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript
274,C;HTML/CSS;JavaScript;Node.js;TypeScript
275,C;C++;Java;Python
276,C#;HTML/CSS;JavaScript;SQL;VBA
277,Bash/Shell;Go;HTML/CSS;JavaScript;SQL;TypeScript
278,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;Python;SQL
279,Bash/Shell;C;C++;JavaScript;Python
280,Java;Scala
281,C#;Dart;Go;Java;JavaScript;Matlab;SQL
282,HTML/CSS;JavaScript;PHP
283,Bash/Shell;HTML/CSS;JavaScript;Node.js;Perl;PHP;Python;Ruby;SQL
284,HTML/CSS;Java;Python
285,HTML/CSS;JavaScript;Python
286,Bash/Shell;Perl;PowerShell;VBA
287,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL
288,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Perl;Python;SQL
289,C;Delphi;Java
290,HTML/CSS;JavaScript;Node.js;Python;Ruby;SQL;TypeScript
291,HTML/CSS;JavaScript;PHP;SQL
292,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Python
293,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL
294,C++;Kotlin
295,C++;Java;JavaScript;Python
296,C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL
297,Dart;HTML/CSS;JavaScript;TypeScript
298,C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL
299,Bash/Shell;PHP;R;SQL
300,Bash/Shell;HTML/CSS;PowerShell;Python;SQL
301,Kotlin;Python
302,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA
303,Swift
304,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
305,HTML/CSS;JavaScript;Node.js;SQL;TypeScript
306,C#;JavaScript;Kotlin;TypeScript
307,PHP
308,Bash/Shell;C;Delphi;HTML/CSS;JavaScript;Node.js;PHP;Python;Rust;SQL;TypeScript
309,HTML/CSS;JavaScript;TypeScript
310,Bash/Shell;Java;SQL
311,HTML/CSS;JavaScript;Node.js;PHP
312,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
313,Matlab;Python;Ruby
314,HTML/CSS;JavaScript;Node.js;PHP;SQL
315,Haskell;Java;JavaScript;Python;Rust;Scala
316,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL
317,JavaScript;Kotlin
318,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;TypeScript
319,C#;HTML/CSS;TypeScript
320,Java;JavaScript;Node.js;PHP
321,C;Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL
322,Bash/Shell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
323,C;C++;Dart;Java;JavaScript;Kotlin;Node.js;R
324,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python
325,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript
326,
327,C;Python;Rust
328,Assembly;C;C#;VBA
329,C#;C++;JavaScript;SQL
330,Bash/Shell;C#;HTML/CSS;PHP;SQL;VBA
331,HTML/CSS;JavaScript;Node.js
332,Java;Python
333,Assembly;Bash/Shell;C;Go;Python;Rust
334,Bash/Shell;Dart;HTML/CSS;JavaScript;Python
335,Bash/Shell;HTML/CSS;Java;JavaScript;Python
336,Bash/Shell;C#;Java;Kotlin;SQL;VBA
337,C#;PowerShell;Python
338,Python
339,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Rust;Scala;SQL;TypeScript
340,C#;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
341,C;C++;HTML/CSS;JavaScript;Python
342,HTML/CSS;JavaScript;PHP;SQL
343,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;VBA
344,C;C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Swift
345,Bash/Shell;C#;Go;Groovy;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript
346,Objective-C;Ruby;Swift
347,HTML/CSS;JavaScript;TypeScript
348,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;SQL;TypeScript
349,HTML/CSS;JavaScript
350,C#;HTML/CSS;JavaScript;SQL
351,C;C++;PHP;Python
352,Bash/Shell;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript
353,C#;HTML/CSS;JavaScript
354,HTML/CSS;JavaScript;Node.js;Swift
355,C++;Java;JavaScript;Kotlin;Python;SQL
356,Bash/Shell;HTML/CSS;Java;Rust;SQL
357,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;TypeScript
358,C#;HTML/CSS;JavaScript
359,Bash/Shell;Python
360,Go
361,HTML/CSS;Node.js;Python;TypeScript
362,C;C++;HTML/CSS;JavaScript;Julia;Node.js;Python;R;SQL;TypeScript
363,C;C++;HTML/CSS;Java;JavaScript
364,Python
365,LISP;PHP;Python;Scala;SQL
366,Dart;Node.js;Python;SQL;TypeScript
367,HTML/CSS;JavaScript;Node.js;PHP;SQL
368,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
369,Bash/Shell;JavaScript;PHP;SQL
370,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;SQL
371,Bash/Shell
372,C++;Elixir;Rust
373,Go;JavaScript;Python;TypeScript
374,C;C++;Java;Matlab;R
375,Python
376,C;Go;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript
377,HTML/CSS;JavaScript;Python;SQL
378,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Matlab;Python;TypeScript
379,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
380,JavaScript;Python
381,C#
382,Bash/Shell;Python
383,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript
384,HTML/CSS;JavaScript
385,Bash/Shell;C++;Groovy;Java;Kotlin;Swift
386,Assembly;Bash/Shell;C;C++;PowerShell;Python
387,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;Perl;Python;SQL
388,HTML/CSS;Java;JavaScript;Kotlin;PHP;Swift;TypeScript
389,C;C++;HTML/CSS;JavaScript;Node.js;PHP;SQL
390,Bash/Shell;JavaScript;Python;SQL
391,Dart;Python
392,C++;JavaScript;Node.js;Python;Swift;TypeScript
393,Assembly;Bash/Shell;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL
394,C;C#;C++;Python
395,C;C++;HTML/CSS;Java;JavaScript;Python
396,C;C++;Java;Python
397,HTML/CSS;JavaScript;PHP;Python;SQL
398,Bash/Shell;Python;SQL
399,C;C#;SQL
400,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
401,HTML/CSS;JavaScript;PHP
402,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
403,Go;Groovy;Java;Kotlin;Python
404,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL
405,Haskell;JavaScript
406,C#
407,C#;HTML/CSS;JavaScript
408,Dart;HTML/CSS;JavaScript;Python
409,C#;C++;HTML/CSS;Python
410,Kotlin
411,C#;HTML/CSS;JavaScript;Node.js
412,Python;Ruby
413,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;Python;R;Ruby;SQL;TypeScript
414,C#;HTML/CSS;JavaScript;SQL
415,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
416,HTML/CSS;Java;JavaScript;SQL;TypeScript
417,HTML/CSS;PHP;SQL
418,Bash/Shell;C;C++;Go;Groovy;Python
419,C;C#;C++;HTML/CSS;JavaScript;Matlab;Node.js;Python;TypeScript
420,C++;PowerShell
421,Bash/Shell;Java;JavaScript;Python;SQL
422,C#;Java
423,C;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
424,Assembly;C;C++;Java;Python;Swift
425,Bash/Shell;C;C++;Java;Rust;SQL
426,C#;HTML/CSS;JavaScript;Node.js;TypeScript
427,C;Matlab;Python;Rust;SQL
428,Go
429,Delphi;Java;Swift
430,Java;JavaScript;Python;Scala;SQL
431,Assembly;Haskell;Java;Python;SQL;VBA
432,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Rust;SQL
433,Bash/Shell;Perl;R;SQL
434,C#;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript
435,Python
436,C#;C++
437,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Scala;SQL
438,C;Go;Perl;Python
439,Java;JavaScript;Python;SQL
440,APL;Erlang;Go;Python
441,Bash/Shell;JavaScript;Python;SQL
442,JavaScript;TypeScript
443,JavaScript;Node.js;PHP;Python
444,Python;Rust
445,HTML/CSS;Java;JavaScript
446,Bash/Shell;C;C++;Java;Python
447,C#;HTML/CSS;Java;JavaScript;Node.js;PHP
448,C++;Matlab;Python
449,Elixir;HTML/CSS;JavaScript;Ruby
450,Bash/Shell;JavaScript;Python;SQL
451,Bash/Shell;Python
452,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
453,C#;HTML/CSS;Java;JavaScript;PHP;TypeScript
454,C++;Python
455,C#;JavaScript;Node.js;TypeScript
456,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;Swift
457,HTML/CSS;JavaScript;PHP;SQL
458,Python
459,HTML/CSS;JavaScript;Node.js
460,HTML/CSS;JavaScript;Node.js;TypeScript
461,Groovy;Java;JavaScript;Node.js;SQL;TypeScript
462,C++;HTML/CSS;JavaScript;Kotlin;PHP;SQL
463,C;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
464,C#;C++
465,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
466,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Python;R;SQL;TypeScript
467,Java
468,Go;JavaScript;SQL;TypeScript
469,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python;TypeScript
470,HTML/CSS;Java;JavaScript;Node.js;SQL
471,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift;VBA
472,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;Swift;TypeScript
473,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
474,HTML/CSS;JavaScript;Node.js;TypeScript
475,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Scala;SQL;TypeScript
476,Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python
477,C#;HTML/CSS;JavaScript;Node.js;R;Ruby;SQL;TypeScript
478,Bash/Shell;Java;Python;SQL
479,Bash/Shell;Java;JavaScript;Python
480,HTML/CSS;Java;JavaScript;Node.js;SQL
481,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell
482,Bash/Shell;Ruby;SQL
483,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript
484,C#;HTML/CSS;JavaScript;Node.js;TypeScript
485,C++;Java;Python
486,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
487,Assembly;C;C++;Java;Matlab;Python;SQL
488,Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL
489,C;Groovy;Python
490,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Node.js;TypeScript
491,Java;Python;Rust
492,Bash/Shell;JavaScript;Python;SQL
493,Java;Python
494,Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript;VBA
495,C#;C++;Python
496,HTML/CSS;JavaScript;Node.js;TypeScript
497,Bash/Shell;Java;Kotlin;Python;Rust;SQL
498,HTML/CSS;JavaScript;PHP;SQL
499,C#;Groovy;PHP
500,Bash/Shell;Go;JavaScript;Node.js;Python
501,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
502,Bash/Shell;HTML/CSS;JavaScript;PHP
503,C++;Python;SQL
504,Python
505,C#;HTML/CSS;VBA
506,HTML/CSS;JavaScript;TypeScript
507,C++;Python;SQL
508,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Python
509,Bash/Shell;C++
510,C++;Dart;HTML/CSS;JavaScript;Node.js;SQL
511,HTML/CSS;JavaScript;PHP;PowerShell;SQL
512,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript
513,Scala;SQL;TypeScript
514,Bash/Shell;C;C++;Java;JavaScript;Matlab;Node.js;PowerShell;Python
515,Java;Matlab;Python;SQL
516,HTML/CSS;JavaScript;PHP;Python;SQL
517,Bash/Shell;Haskell;Rust
518,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Julia;LISP;Python;R;Rust;SQL
519,C;Java;Kotlin
520,Java;Scala;SQL;VBA
521,C#;HTML/CSS;JavaScript;SQL
522,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript
523,C;C#;Crystal;JavaScript;PHP;PowerShell;Python;SQL;VBA
524,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL
525,Bash/Shell;Go;JavaScript;Node.js;PHP;SQL;Swift;TypeScript
